param,value,accuracy
population_size,20.0,0.5666666666666667
population_size,40.0,0.5166666666666666
population_size,60.0,0.5866666666666667
population_size,80.0,0.4966666666666667
population_size,100.0,0.5933333333333334
generations,10.0,0.5133333333333334
generations,30.0,0.5299999999999999
generations,50.0,0.5866666666666667
generations,70.0,0.59
crossover_rate,0.6,0.5933333333333335
crossover_rate,0.7,0.5700000000000001
crossover_rate,0.7999999999999999,0.5133333333333333
crossover_rate,0.8999999999999999,0.6
crossover_rate,0.9999999999999999,0.5966666666666667
crossover_rate,1.0999999999999999,0.5366666666666666
mutation_rate,0.0,0.59
mutation_rate,0.1,0.5800000000000001
mutation_rate,0.2,0.6300000000000001
mutation_rate,0.30000000000000004,0.4966666666666667
mutation_rate,0.4,0.6433333333333333
mutation_rate,0.5,0.6000000000000001
champion_survival_percentage,0.0,0.6066666666666667
champion_survival_percentage,0.1,0.5733333333333333
champion_survival_percentage,0.2,0.6266666666666667
champion_survival_percentage,0.30000000000000004,0.49000000000000005
champion_survival_percentage,0.4,0.5666666666666667
champion_survival_percentage,0.5,0.6300000000000001
max_depth,1.0,0.5366666666666666
max_depth,2.0,0.5200000000000001
max_depth,3.0,0.5333333333333334
max_depth,4.0,0.5399999999999999
